               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.06937,            0.053008,                   0,           0.0034921,             0.95652,           0.0055758,           0.0021059,            0.069343,            0.050923,                   0,              0.0757,              0.0027,              0.0027
                   1,            0.064175,            0.052658,                   0,           0.0036508,                   1,            0.004916,           0.0017193,            0.069644,            0.050503,                   0,            0.050496,           0.0054964,           0.0054964
                   2,            0.060782,            0.052353,                   0,           0.0031746,             0.86957,           0.0037076,           0.0012855,            0.070042,             0.05033,                   0,            0.025289,            0.008289,            0.008289
                   3,             0.06115,            0.051369,                   0,           0.0034921,             0.95652,            0.010049,           0.0029527,            0.069758,            0.050293,                   0,           0.0099802,           0.0099802,           0.0099802
                   4,            0.058853,            0.051276,                   0,           0.0033328,            0.086957,           0.0045162,           0.0011651,            0.061994,            0.051311,                   0,           0.0099802,           0.0099802,           0.0099802
                   5,            0.057564,            0.050292,                   0,          0.00063492,             0.17391,           0.0003731,          7.2535e-05,            0.071931,             0.20784,                   0,           0.0099736,           0.0099736,           0.0099736
                   6,            0.054641,            0.050125,                   0,           0.0011111,             0.30435,          0.00075804,          0.00016734,            0.073481,             0.20126,                   0,            0.009967,            0.009967,            0.009967
                   7,            0.063972,            0.048169,                   0,          0.00015873,            0.043478,          8.3083e-05,          2.4925e-05,            0.076938,             0.52707,                   0,           0.0099604,           0.0099604,           0.0099604
                   8,            0.061639,            0.048046,                   0,          0.00063541,            0.043478,          0.00042053,            0.000134,            0.076611,              0.3184,                   0,           0.0099538,           0.0099538,           0.0099538
                   9,            0.061162,            0.045973,                   0,           0.0014454,             0.34783,           0.0012236,          0.00020407,            0.093602,            0.093167,                   0,           0.0099472,           0.0099472,           0.0099472
                  10,            0.068707,            0.042952,                   0,           0.0025053,            0.043478,          0.00075962,          0.00021468,            0.074925,            0.068593,                   0,           0.0099406,           0.0099406,           0.0099406
                  11,            0.061742,            0.041472,                   0,                   1,            0.043478,            0.046116,           0.0048116,            0.075146,             0.13958,                   0,            0.009934,            0.009934,            0.009934
                  12,            0.056209,            0.040426,                   0,           0.0073108,             0.13043,           0.0055612,           0.0014252,            0.089894,            0.089962,                   0,           0.0099274,           0.0099274,           0.0099274
                  13,             0.06266,            0.037885,                   0,           0.0020926,              0.3913,           0.0022706,          0.00083219,            0.080608,            0.031497,                   0,           0.0099208,           0.0099208,           0.0099208
                  14,            0.048382,             0.03775,                   0,            0.053168,             0.30435,            0.035236,            0.011551,             0.05432,            0.034212,                   0,           0.0099142,           0.0099142,           0.0099142
                  15,            0.044082,            0.036764,                   0,            0.021929,             0.56522,            0.044717,            0.014043,             0.05496,            0.031697,                   0,           0.0099076,           0.0099076,           0.0099076
                  16,            0.041633,            0.035907,                   0,            0.028341,             0.34783,            0.020066,           0.0080335,            0.053982,            0.030452,                   0,            0.009901,            0.009901,            0.009901
                  17,            0.043414,            0.032133,                   0,            0.013125,             0.13043,            0.097107,            0.013513,            0.058081,            0.026666,                   0,           0.0098944,           0.0098944,           0.0098944
                  18,            0.046546,            0.029381,                   0,            0.079319,             0.30435,            0.091988,            0.029349,            0.043128,            0.028027,                   0,           0.0098878,           0.0098878,           0.0098878
                  19,            0.040486,            0.030304,                   0,             0.07787,             0.43478,             0.18687,            0.065326,            0.048312,            0.026926,                   0,           0.0098812,           0.0098812,           0.0098812
                  20,            0.039424,            0.029177,                   0,           0.0034921,             0.95652,             0.05624,            0.025502,            0.029708,            0.029179,                   0,           0.0098746,           0.0098746,           0.0098746
                  21,            0.031166,             0.02706,                   0,             0.25911,             0.17391,             0.11795,            0.054679,            0.040752,            0.025519,                   0,            0.009868,            0.009868,            0.009868
                  22,            0.033397,             0.02669,                   0,            0.078694,             0.21739,            0.085254,            0.042702,            0.046562,            0.024387,                   0,           0.0098614,           0.0098614,           0.0098614
                  23,            0.034794,            0.025875,                   0,            0.065831,            0.086957,            0.088437,            0.038309,            0.027477,            0.025983,                   0,           0.0098548,           0.0098548,           0.0098548
                  24,            0.026732,            0.026927,                   0,            0.032197,             0.17391,             0.05573,            0.031547,            0.057519,            0.022163,                   0,           0.0098482,           0.0098482,           0.0098482
                  25,            0.024045,            0.025543,                   0,            0.028447,            0.086957,            0.013764,           0.0095028,            0.063664,            0.024402,                   0,           0.0098416,           0.0098416,           0.0098416
                  26,             0.02735,            0.022299,                   0,          0.00035499,            0.086957,          0.00041955,          0.00019898,            0.072317,            0.026001,                   0,            0.009835,            0.009835,            0.009835
                  27,             0.02875,            0.021089,                   0,            0.041886,            0.043478,            0.050886,            0.034521,            0.058699,            0.020031,                   0,           0.0098284,           0.0098284,           0.0098284
                  28,            0.024235,            0.020772,                   0,             0.15269,             0.21739,            0.070198,            0.037555,            0.038674,            0.020254,                   0,           0.0098218,           0.0098218,           0.0098218
