               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.071447,            0.053399,                   0,           0.0033333,             0.91304,           0.0034683,           0.0015959,            0.063817,            0.048607,                   0,              0.0757,              0.0027,              0.0027
                   1,            0.064296,            0.049745,                   0,           0.0034921,             0.95652,           0.0047985,           0.0021439,            0.058925,            0.047209,                   0,            0.050496,           0.0054964,           0.0054964
                   2,             0.05954,            0.048028,                   0,           0.0034921,             0.95652,           0.0043619,            0.001747,            0.055781,            0.046959,                   0,            0.025289,            0.008289,            0.008289
                   3,            0.057131,            0.046401,                   0,           0.0034921,             0.95652,           0.0063021,           0.0024936,            0.054506,            0.047219,                   0,           0.0099802,           0.0099802,           0.0099802
                   4,            0.052858,            0.045914,                   0,           0.0033333,             0.91304,            0.064239,            0.015253,            0.049087,            0.046773,                   0,           0.0099802,           0.0099802,           0.0099802
                   5,            0.052491,            0.044071,                   0,            0.063576,             0.13043,            0.036482,            0.020934,            0.078484,            0.032222,                   0,           0.0099736,           0.0099736,           0.0099736
                   6,            0.051092,            0.043613,                   0,           0.0030093,            0.043478,           0.0023122,          0.00053665,            0.082443,             0.06867,                   0,            0.009967,            0.009967,            0.009967
                   7,            0.049705,            0.042235,                   0,           0.0025117,            0.043478,          0.00064529,          0.00012906,            0.093896,             0.19116,                   0,           0.0099604,           0.0099604,           0.0099604
                   8,            0.050071,             0.04265,                   0,           0.0032573,            0.043478,           0.0015684,          0.00017385,            0.098015,              2.3995,                   0,           0.0099538,           0.0099538,           0.0099538
                   9,            0.047262,            0.041799,                   0,           0.0010517,             0.17391,          0.00057146,          0.00012723,            0.094377,              1.4421,                   0,           0.0099472,           0.0099472,           0.0099472
                  10,            0.049703,            0.039268,                   0,          0.00015873,            0.043478,          8.3394e-05,          1.6679e-05,            0.076205,             0.87825,                   0,           0.0099406,           0.0099406,           0.0099406
                  11,            0.048945,            0.038629,                   0,          0.00095238,             0.26087,          0.00060125,          6.8409e-05,            0.080649,             0.52995,                   0,            0.009934,            0.009934,            0.009934
                  12,            0.047067,            0.037775,                   0,           0.0050041,             0.43478,           0.0035864,          0.00092131,             0.08064,             0.30586,                   0,           0.0099274,           0.0099274,           0.0099274
                  13,            0.044838,            0.037858,                   0,            0.042541,            0.086957,            0.018597,            0.004866,            0.060324,            0.058233,                   0,           0.0099208,           0.0099208,           0.0099208
                  14,            0.039157,            0.036975,                   0,            0.024142,             0.17391,            0.025563,           0.0036865,            0.066392,             0.12488,                   0,           0.0099142,           0.0099142,           0.0099142
                  15,            0.045546,            0.035094,                   0,           0.0033638,            0.043478,           0.0017865,          0.00033163,            0.085143,             0.05728,                   0,           0.0099076,           0.0099076,           0.0099076
                  16,            0.047246,            0.035863,                   0,           0.0030424,             0.73913,           0.0073282,           0.0028372,            0.051896,            0.032618,                   0,            0.009901,            0.009901,            0.009901
                  17,             0.03034,            0.034825,                   0,           0.0076869,             0.69565,            0.060003,            0.027229,              0.0431,            0.030668,                   0,           0.0098944,           0.0098944,           0.0098944
                  18,            0.036645,            0.031515,                   0,           0.0036508,                   1,            0.034492,           0.0099133,            0.049919,            0.026749,                   0,           0.0098878,           0.0098878,           0.0098878
                  19,             0.04067,            0.031022,                   0,           0.0030159,             0.82609,            0.025974,           0.0067521,            0.059021,            0.025111,                   0,           0.0098812,           0.0098812,           0.0098812
                  20,            0.037523,            0.031159,                   0,           0.0030159,             0.82609,            0.054062,            0.022951,            0.045938,            0.026265,                   0,           0.0098746,           0.0098746,           0.0098746
                  21,            0.028533,            0.030346,                   0,           0.0036508,                   1,             0.09212,            0.027826,            0.025406,            0.029377,                   0,            0.009868,            0.009868,            0.009868
                  22,            0.028777,            0.030171,                   0,            0.014611,             0.86957,            0.092243,            0.042206,            0.031678,            0.028466,                   0,           0.0098614,           0.0098614,           0.0098614
                  23,            0.028563,             0.02864,                   0,            0.051671,             0.65217,              0.1471,            0.063509,            0.023308,            0.028369,                   0,           0.0098548,           0.0098548,           0.0098548
                  24,            0.022494,            0.029513,                   0,            0.065891,              0.6087,             0.20314,            0.097825,            0.024533,             0.02749,                   0,           0.0098482,           0.0098482,           0.0098482
                  25,             0.02235,            0.029024,                   0,            0.037946,             0.69565,              0.1599,            0.070692,            0.022304,            0.026581,                   0,           0.0098416,           0.0098416,           0.0098416
                  26,            0.019731,            0.026539,                   0,            0.050744,             0.73913,             0.14994,             0.07147,            0.023256,            0.025989,                   0,            0.009835,            0.009835,            0.009835
                  27,            0.020497,            0.025798,                   0,            0.056187,             0.52174,            0.063319,             0.03124,            0.027804,            0.024231,                   0,           0.0098284,           0.0098284,           0.0098284
                  28,            0.020403,            0.025396,                   0,            0.040622,             0.43478,            0.034787,            0.019857,            0.028432,            0.023701,                   0,           0.0098218,           0.0098218,           0.0098218
                  29,            0.020136,              0.0236,                   0,             0.07343,              0.3913,             0.06739,            0.038011,            0.025496,            0.023372,                   0,           0.0098152,           0.0098152,           0.0098152
                  30,            0.020477,            0.024812,                   0,             0.10727,              0.3913,             0.13039,            0.080355,            0.022297,            0.022727,                   0,           0.0098086,           0.0098086,           0.0098086
                  31,            0.019724,            0.021542,                   0,             0.12281,             0.43478,             0.14773,            0.090587,            0.023679,            0.021512,                   0,            0.009802,            0.009802,            0.009802
                  32,            0.019317,             0.02218,                   0,             0.17501,             0.47826,             0.21177,             0.13368,            0.019133,            0.021027,                   0,           0.0097954,           0.0097954,           0.0097954
                  33,            0.018852,            0.021829,                   0,             0.18766,             0.47826,             0.21227,             0.14657,            0.017603,            0.020579,                   0,           0.0097888,           0.0097888,           0.0097888
                  34,            0.017602,            0.019716,                   0,             0.19839,             0.47826,             0.21952,             0.12519,            0.017698,            0.020321,                   0,           0.0097822,           0.0097822,           0.0097822
                  35,            0.018588,            0.020839,                   0,             0.20866,             0.52174,             0.25194,             0.15717,            0.018734,             0.01933,                   0,           0.0097756,           0.0097756,           0.0097756
