               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.072544,            0.052609,                   0,                   0,                   0,                   0,                   0,            0.067709,             0.04985,                   0,              0.0757,              0.0027,              0.0027
                   1,            0.063383,            0.051331,                   0,                   0,                   0,                   0,                   0,            0.067472,              0.0493,                   0,            0.050496,           0.0054964,           0.0054964
                   2,            0.057715,            0.050549,                   0,                   0,                   0,                   0,                   0,            0.067909,            0.049249,                   0,            0.025289,            0.008289,            0.008289
                   3,            0.056704,             0.04937,                   0,           0.0033333,             0.91304,           0.0037427,           0.0015664,            0.068915,            0.049153,                   0,           0.0099802,           0.0099802,           0.0099802
                   4,            0.054743,            0.048752,                   0,            0.002381,             0.65217,            0.044327,            0.010563,            0.061963,            0.049185,                   0,           0.0099802,           0.0099802,           0.0099802
                   5,            0.053367,            0.047252,                   0,           0.0021524,             0.30435,           0.0016295,          0.00046078,             0.07122,             0.13097,                   0,           0.0099736,           0.0099736,           0.0099736
                   6,            0.052185,            0.046937,                   0,            0.010638,            0.043478,           0.0025635,          0.00035892,            0.089446,             0.33885,                   0,            0.009967,            0.009967,            0.009967
                   7,            0.056518,            0.045222,                   0,            0.016949,            0.043478,           0.0015141,            0.000168,            0.092597,             0.47356,                   0,           0.0099604,           0.0099604,           0.0099604
                   8,            0.053206,            0.045619,                   0,           0.0013732,            0.086957,           0.0010827,          0.00025401,            0.075176,             0.60698,                   0,           0.0099538,           0.0099538,           0.0099538
                   9,            0.056084,             0.04383,                   0,           0.0016384,             0.21739,           0.0010799,          0.00029939,            0.076125,             0.48657,                   0,           0.0099472,           0.0099472,           0.0099472
                  10,              0.0556,            0.041842,                   0,            0.005137,            0.086957,           0.0035343,          0.00046091,            0.074327,             0.44562,                   0,           0.0099406,           0.0099406,           0.0099406
                  11,            0.055136,            0.040088,                   0,           0.0023541,            0.043478,          0.00087114,          0.00013211,            0.078579,             0.43917,                   0,            0.009934,            0.009934,            0.009934
