               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.069453,            0.053113,                   0,           0.0034921,             0.95652,           0.0053003,           0.0023185,            0.069449,            0.050926,                   0,              0.0757,              0.0027,              0.0027
                   1,            0.064702,            0.052876,                   0,           0.0036508,                   1,           0.0049371,           0.0021448,             0.06971,            0.050475,                   0,            0.050496,           0.0054964,           0.0054964
                   2,            0.059315,            0.053284,                   0,           0.0036508,                   1,           0.0049584,            0.002132,            0.070121,            0.050298,                   0,            0.025289,            0.008289,            0.008289
                   3,            0.058803,            0.052461,                   0,           0.0036508,                   1,             0.12305,            0.044929,            0.068415,            0.050299,                   0,           0.0099802,           0.0099802,           0.0099802
                   4,            0.057103,            0.051859,                   0,           0.0044474,            0.043478,           0.0043178,          0.00079523,            0.062703,            0.052715,                   0,           0.0099802,           0.0099802,           0.0099802
                   5,             0.05644,             0.05131,                   0,           0.0022055,              0.3913,           0.0017686,          0.00034368,            0.072845,             0.12078,                   0,           0.0099736,           0.0099736,           0.0099736
                   6,            0.058049,            0.050225,                   0,          0.00095238,             0.26087,          0.00061927,           0.0001705,            0.075436,             0.24593,                   0,            0.009967,            0.009967,            0.009967
                   7,            0.060675,            0.049107,                   0,           0.0020657,            0.086957,          0.00093818,          0.00022391,            0.075723,             0.23014,                   0,           0.0099604,           0.0099604,           0.0099604
                   8,             0.05895,            0.047833,                   0,           0.0024327,            0.086957,           0.0019796,          0.00033097,            0.076413,             0.32504,                   0,           0.0099538,           0.0099538,           0.0099538
                   9,             0.05708,            0.046308,                   0,           0.0038496,            0.086957,           0.0011813,           0.0001664,            0.075822,            0.071074,                   0,           0.0099472,           0.0099472,           0.0099472
                  10,            0.064517,             0.04372,                   0,            0.010587,            0.043478,           0.0061385,            0.001341,            0.079193,            0.055886,                   0,           0.0099406,           0.0099406,           0.0099406
                  11,            0.061427,            0.042221,                   0,            0.009183,            0.043478,           0.0021322,          0.00036357,            0.075832,            0.039271,                   0,            0.009934,            0.009934,            0.009934
                  12,            0.054998,            0.041596,                   0,           0.0034047,            0.086957,           0.0033382,          0.00071123,            0.071733,             0.06312,                   0,           0.0099274,           0.0099274,           0.0099274
                  13,             0.05069,             0.03885,                   0,            0.089525,            0.043478,            0.012223,           0.0031127,            0.070191,             0.03358,                   0,           0.0099208,           0.0099208,           0.0099208
                  14,             0.05179,            0.036932,                   0,             0.01356,             0.21739,           0.0088999,           0.0021824,            0.068648,            0.029594,                   0,           0.0099142,           0.0099142,           0.0099142
                  15,            0.044186,            0.036126,                   0,            0.015494,             0.17391,           0.0098095,           0.0025487,            0.061546,            0.029205,                   0,           0.0099076,           0.0099076,           0.0099076
                  16,            0.038123,            0.035138,                   0,            0.069802,              0.3002,            0.038143,            0.010078,             0.06408,            0.027484,                   0,            0.009901,            0.009901,            0.009901
                  17,            0.045121,            0.032415,                   0,             0.11957,             0.34783,            0.076887,             0.02153,            0.040726,            0.029587,                   0,           0.0098944,           0.0098944,           0.0098944
                  18,            0.037963,            0.031884,                   0,            0.083446,             0.30435,            0.066313,            0.028253,            0.044225,            0.028046,                   0,           0.0098878,           0.0098878,           0.0098878
                  19,            0.031445,            0.030448,                   0,             0.12858,             0.26087,              0.1352,            0.047664,            0.049014,            0.026327,                   0,           0.0098812,           0.0098812,           0.0098812
                  20,            0.033325,            0.028928,                   0,           0.0034921,             0.95652,             0.19054,             0.11699,            0.024121,            0.026933,                   0,           0.0098746,           0.0098746,           0.0098746
                  21,            0.025833,            0.029062,                   0,           0.0014286,              0.3913,           0.0010809,          0.00038096,            0.067785,            0.019161,                   0,            0.009868,            0.009868,            0.009868
                  22,            0.035801,             0.02491,                   0,           0.0023669,            0.086957,           0.0022435,          0.00087703,            0.066802,            0.019704,                   0,           0.0098614,           0.0098614,           0.0098614
                  23,            0.029598,            0.024621,                   0,            0.019204,             0.13043,            0.017764,           0.0071034,             0.04457,            0.022682,                   0,           0.0098548,           0.0098548,           0.0098548
                  24,            0.023815,            0.024543,                   0,            0.062425,             0.17391,            0.077943,            0.046403,             0.03188,             0.02263,                   0,           0.0098482,           0.0098482,           0.0098482
                  25,              0.0238,            0.023645,                   0,              0.0276,            0.086957,           0.0050838,           0.0032301,            0.067254,            0.017426,                   0,           0.0098416,           0.0098416,           0.0098416
                  26,            0.022939,            0.022334,                   0,            0.068379,             0.17391,            0.026233,            0.017055,            0.052747,            0.020057,                   0,            0.009835,            0.009835,            0.009835
                  27,            0.021685,            0.021325,                   0,            0.066238,             0.17391,            0.030154,            0.013705,            0.047775,            0.021696,                   0,           0.0098284,           0.0098284,           0.0098284
                  28,            0.022441,            0.020369,                   0,             0.11336,             0.21739,            0.070495,             0.04825,            0.034776,            0.020743,                   0,           0.0098218,           0.0098218,           0.0098218
                  29,             0.01814,            0.020135,                   0,            0.058873,             0.34783,            0.047479,            0.024147,            0.037684,            0.021244,                   0,           0.0098152,           0.0098152,           0.0098152
                  30,             0.02201,            0.018615,                   0,            0.065848,              0.3913,            0.043005,            0.024005,            0.037291,            0.021379,                   0,           0.0098086,           0.0098086,           0.0098086
                  31,             0.02314,            0.018057,                   0,             0.22331,             0.34783,             0.23132,             0.15295,            0.023921,            0.017597,                   0,            0.009802,            0.009802,            0.009802
                  32,            0.017787,            0.018783,                   0,             0.39923,             0.65217,             0.40786,             0.27735,            0.018003,            0.016972,                   0,           0.0097954,           0.0097954,           0.0097954
                  33,             0.01608,              0.0182,                   0,             0.14895,             0.43478,             0.11939,            0.067175,            0.026618,            0.018654,                   0,           0.0097888,           0.0097888,           0.0097888
                  34,             0.01778,            0.016698,                   0,             0.15414,             0.43478,            0.083232,            0.059762,            0.035972,            0.019343,                   0,           0.0097822,           0.0097822,           0.0097822
                  35,            0.018422,            0.016614,                   0,             0.30366,             0.43478,             0.25856,             0.17872,            0.023829,             0.01627,                   0,           0.0097756,           0.0097756,           0.0097756
                  36,            0.017094,            0.016357,                   0,             0.31364,             0.65217,             0.33815,             0.26509,            0.017843,            0.015032,                   0,            0.009769,            0.009769,            0.009769
                  37,            0.012712,            0.016398,                   0,             0.28071,             0.47826,             0.24099,             0.18215,            0.022728,            0.017001,                   0,           0.0097624,           0.0097624,           0.0097624
                  38,             0.01482,            0.015512,                   0,             0.27196,             0.52174,             0.25845,             0.16877,             0.01955,            0.014406,                   0,           0.0097558,           0.0097558,           0.0097558
                  39,            0.015883,            0.015636,                   0,              0.3745,             0.52174,             0.34157,             0.28358,            0.016457,             0.01468,                   0,           0.0097492,           0.0097492,           0.0097492
                  40,            0.013286,            0.015401,                   0,             0.23449,              0.6087,             0.23329,             0.16916,            0.020852,            0.015851,                   0,           0.0097426,           0.0097426,           0.0097426
                  41,            0.012446,            0.015229,                   0,             0.35483,             0.65217,             0.36094,             0.31093,            0.016605,            0.014032,                   0,            0.009736,            0.009736,            0.009736
                  42,            0.013861,            0.014218,                   0,             0.36753,             0.65217,             0.36466,             0.30477,            0.018258,            0.013801,                   0,           0.0097294,           0.0097294,           0.0097294
                  43,            0.017363,            0.013737,                   0,              0.3525,              0.6087,             0.34347,             0.27713,             0.02199,            0.013246,                   0,           0.0097228,           0.0097228,           0.0097228
                  44,             0.01765,            0.013913,                   0,             0.41494,             0.65217,             0.39894,              0.3294,            0.015584,            0.014166,                   0,           0.0097162,           0.0097162,           0.0097162
                  45,            0.013087,            0.014234,                   0,             0.41276,             0.65217,             0.39979,             0.34578,            0.015326,             0.01378,                   0,           0.0097096,           0.0097096,           0.0097096
                  46,            0.012641,            0.013854,                   0,             0.42635,             0.64644,             0.40789,             0.35294,            0.014888,            0.013906,                   0,            0.009703,            0.009703,            0.009703
                  47,            0.013626,             0.01353,                   0,             0.36526,             0.65217,             0.32282,               0.267,            0.018794,            0.014489,                   0,           0.0096964,           0.0096964,           0.0096964
                  48,            0.012893,            0.013317,                   0,             0.29987,             0.47826,             0.28984,             0.23253,            0.019433,            0.015435,                   0,           0.0096898,           0.0096898,           0.0096898
                  49,            0.010321,            0.013198,                   0,             0.41765,             0.53033,             0.36236,             0.32139,            0.015916,            0.013885,                   0,           0.0096832,           0.0096832,           0.0096832
                  50,            0.010353,            0.012692,                   0,             0.41344,              0.6087,             0.36501,             0.31505,            0.014862,            0.013371,                   0,           0.0096766,           0.0096766,           0.0096766
                  51,            0.013533,            0.012256,                   0,             0.39419,              0.6087,             0.36469,             0.31428,            0.018719,            0.013318,                   0,             0.00967,             0.00967,             0.00967
                  52,            0.014187,            0.011681,                   0,             0.41043,              0.6087,             0.35079,              0.2712,             0.01997,            0.012843,                   0,           0.0096634,           0.0096634,           0.0096634
                  53,            0.013331,            0.011755,                   0,             0.36455,              0.3913,              0.3483,             0.28904,             0.01548,            0.015637,                   0,           0.0096568,           0.0096568,           0.0096568
                  54,            0.011758,             0.01179,                   0,             0.41411,              0.6087,             0.36026,              0.3056,            0.016574,            0.013797,                   0,           0.0096502,           0.0096502,           0.0096502
                  55,            0.010966,            0.011965,                   0,             0.36247,             0.54415,             0.36507,             0.31419,            0.013573,            0.013886,                   0,           0.0096436,           0.0096436,           0.0096436
                  56,           0.0090025,            0.011847,                   0,             0.39749,             0.57388,             0.37507,             0.34151,            0.013578,            0.013032,                   0,            0.009637,            0.009637,            0.009637
                  57,           0.0090696,            0.011095,                   0,              0.4224,             0.52174,             0.35127,             0.29883,            0.016212,            0.013072,                   0,           0.0096304,           0.0096304,           0.0096304
                  58,            0.011014,            0.010638,                   0,             0.43908,             0.61272,             0.37687,              0.3105,            0.014702,            0.013389,                   0,           0.0096238,           0.0096238,           0.0096238
