               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.075218,            0.053758,                   0,           0.0034921,             0.95652,           0.0037166,           0.0016783,            0.066353,            0.049317,                   0,              0.0757,              0.0027,              0.0027
                   1,            0.066476,             0.05098,                   0,           0.0034921,             0.95652,           0.0043975,           0.0018009,            0.064453,            0.047717,                   0,            0.050496,           0.0054964,           0.0054964
                   2,            0.057545,            0.050316,                   0,                   0,                   0,                   0,                   0,            0.064647,             0.04707,                   0,            0.025289,            0.008289,            0.008289
                   3,            0.054905,            0.049162,                   0,                   0,                   0,                   0,                   0,            0.066339,            0.046508,                   0,           0.0099802,           0.0099802,           0.0099802
                   4,            0.053859,            0.048166,                   0,             0.29165,            0.086957,             0.05193,            0.011833,            0.057754,            0.045648,                   0,           0.0099802,           0.0099802,           0.0099802
                   5,            0.049633,            0.047871,                   0,           0.0026984,             0.73913,           0.0035352,           0.0010442,            0.052005,              0.0606,                   0,           0.0099736,           0.0099736,           0.0099736
                   6,            0.046681,            0.047292,                   0,           0.0026855,              0.3913,           0.0031686,          0.00056511,            0.075252,             0.53781,                   0,            0.009967,            0.009967,            0.009967
                   7,            0.049429,            0.045942,                   0,           0.0011077,             0.21739,          0.00086424,          0.00010091,            0.076479,              1.1327,                   0,           0.0099604,           0.0099604,           0.0099604
                   8,            0.049641,            0.044852,                   0,           0.0026095,             0.17391,           0.0033332,          0.00087361,            0.077325,             0.66973,                   0,           0.0099538,           0.0099538,           0.0099538
                   9,            0.047685,            0.044038,                   0,           0.0091828,             0.13043,           0.0045916,           0.0010304,            0.067263,             0.11698,                   0,           0.0099472,           0.0099472,           0.0099472
                  10,            0.041215,            0.042366,                   0,          0.00063492,             0.17391,            0.000376,           0.0001176,            0.072948,            0.097852,                   0,           0.0099406,           0.0099406,           0.0099406
                  11,            0.041595,            0.041095,                   0,            0.020331,             0.30435,            0.016271,           0.0030891,            0.070461,            0.042338,                   0,            0.009934,            0.009934,            0.009934
                  12,             0.03466,            0.040837,                   0,            0.037217,              0.3913,            0.027594,           0.0044961,            0.061131,            0.040853,                   0,           0.0099274,           0.0099274,           0.0099274
                  13,            0.035007,            0.038754,                   0,            0.035927,            0.043478,           0.0086633,            0.001932,            0.056386,            0.047274,                   0,           0.0099208,           0.0099208,           0.0099208
                  14,            0.032622,            0.038131,                   0,           0.0039863,             0.86957,            0.012278,           0.0034867,            0.048858,            0.038014,                   0,           0.0099142,           0.0099142,           0.0099142
                  15,            0.030947,            0.036946,                   0,           0.0039633,             0.65217,           0.0055081,          0.00096545,            0.064177,            0.026537,                   0,           0.0099076,           0.0099076,           0.0099076
                  16,            0.029484,             0.03446,                   0,                   0,                   0,                   0,                   0,             0.08818,            0.020146,                   0,            0.009901,            0.009901,            0.009901
                  17,            0.031966,            0.032707,                   0,           0.0040461,             0.34783,            0.022616,           0.0076365,            0.051742,            0.026336,                   0,           0.0098944,           0.0098944,           0.0098944
                  18,            0.027066,            0.032132,                   0,            0.012605,              0.3913,            0.084827,             0.05154,             0.03749,            0.029472,                   0,           0.0098878,           0.0098878,           0.0098878
                  19,            0.027187,            0.031219,                   0,            0.010311,             0.73913,            0.063264,            0.028644,            0.028015,            0.031418,                   0,           0.0098812,           0.0098812,           0.0098812
                  20,              0.0222,            0.030372,                   0,           0.0023737,              0.3913,           0.0047628,           0.0023931,            0.053299,            0.021782,                   0,           0.0098746,           0.0098746,           0.0098746
