               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.071206,            0.052963,                   0,                   0,                   0,                   0,                   0,            0.067637,            0.049872,                   0,              0.0757,              0.0027,              0.0027
                   1,            0.062232,            0.051957,                   0,                   0,                   0,                   0,                   0,            0.067697,            0.049344,                   0,            0.050496,           0.0054964,           0.0054964
                   2,             0.05771,            0.051791,                   0,                   0,                   0,                   0,                   0,            0.068416,             0.04918,                   0,            0.025289,            0.008289,            0.008289
                   3,            0.058213,            0.050447,                   0,                   0,                   0,                   0,                   0,            0.068168,            0.048879,                   0,           0.0099802,           0.0099802,           0.0099802
                   4,            0.060258,            0.048895,                   0,            0.025866,            0.043478,            0.010743,           0.0030113,            0.069377,             0.04983,                   0,           0.0099802,           0.0099802,           0.0099802
                   5,              0.0605,            0.047816,                   0,            0.007077,             0.13043,           0.0043331,          0.00091894,            0.077446,             0.19858,                   0,           0.0099736,           0.0099736,           0.0099736
                   6,            0.054212,            0.047011,                   0,             0.14286,            0.043478,            0.035862,           0.0049153,            0.075017,             0.28859,                   0,            0.009967,            0.009967,            0.009967
                   7,            0.056176,            0.045672,                   0,           0.0028386,             0.13043,           0.0022455,           0.0004654,             0.07479,             0.28198,                   0,           0.0099604,           0.0099604,           0.0099604
                   8,            0.055923,            0.044025,                   0,          0.00063492,             0.17391,          0.00037515,          0.00019587,            0.075174,             0.11318,                   0,           0.0099538,           0.0099538,           0.0099538
                   9,            0.054863,            0.042516,                   0,           0.0012863,             0.13043,          0.00090068,          0.00019828,            0.074541,            0.088155,                   0,           0.0099472,           0.0099472,           0.0099472
                  10,            0.052828,            0.041079,                   0,           0.0026148,            0.043478,           0.0006251,          0.00014409,            0.076293,            0.069483,                   0,           0.0099406,           0.0099406,           0.0099406
                  11,            0.047917,             0.03951,                   0,             0.01727,            0.043478,           0.0027445,          0.00088757,            0.071436,            0.069955,                   0,            0.009934,            0.009934,            0.009934
                  12,            0.049198,            0.038497,                   0,            0.031455,            0.043478,            0.011032,           0.0025988,            0.065821,            0.043346,                   0,           0.0099274,           0.0099274,           0.0099274
                  13,            0.039809,            0.036695,                   0,             0.06012,              0.3913,            0.035803,           0.0090756,            0.058688,            0.031287,                   0,           0.0099208,           0.0099208,           0.0099208
                  14,            0.036571,            0.034828,                   0,             0.03341,             0.13043,            0.013145,           0.0023216,            0.062602,            0.030657,                   0,           0.0099142,           0.0099142,           0.0099142
                  15,            0.039407,            0.033033,                   0,             0.21442,             0.21739,             0.23274,            0.092857,            0.045474,            0.030091,                   0,           0.0099076,           0.0099076,           0.0099076
                  16,            0.034087,            0.033321,                   0,             0.01333,             0.91304,            0.098332,            0.032305,             0.03646,            0.029774,                   0,            0.009901,            0.009901,            0.009901
                  17,            0.037509,            0.031067,                   0,            0.015318,             0.91304,            0.097418,            0.029712,             0.03906,            0.026879,                   0,           0.0098944,           0.0098944,           0.0098944
                  18,            0.035256,            0.029501,                   0,            0.038923,             0.78261,             0.13485,            0.054952,            0.046689,             0.02637,                   0,           0.0098878,           0.0098878,           0.0098878
                  19,            0.033126,            0.029221,                   0,             0.10372,             0.69565,             0.19919,            0.062943,            0.030355,            0.026337,                   0,           0.0098812,           0.0098812,           0.0098812
                  20,            0.022488,            0.028789,                   0,           0.0056948,             0.17391,            0.004843,           0.0018587,            0.048983,            0.030382,                   0,           0.0098746,           0.0098746,           0.0098746
                  21,            0.025707,            0.026511,                   0,           0.0087762,            0.086957,           0.0044824,           0.0025763,            0.073709,            0.021507,                   0,            0.009868,            0.009868,            0.009868
                  22,             0.03094,            0.024594,                   0,            0.012579,             0.13043,           0.0066497,           0.0041302,            0.057113,            0.023671,                   0,           0.0098614,           0.0098614,           0.0098614
                  23,            0.026885,            0.024384,                   0,              0.1124,             0.34783,             0.13442,            0.063913,            0.041021,            0.022438,                   0,           0.0098548,           0.0098548,           0.0098548
                  24,            0.023028,            0.023517,                   0,             0.10715,             0.34783,            0.095666,            0.059895,            0.035026,            0.022865,                   0,           0.0098482,           0.0098482,           0.0098482
                  25,            0.019702,            0.022944,                   0,            0.057425,             0.30435,            0.043653,            0.015095,            0.036274,            0.022527,                   0,           0.0098416,           0.0098416,           0.0098416
                  26,            0.020759,            0.021219,                   0,            0.077088,             0.30435,            0.055281,            0.022091,            0.034652,            0.022656,                   0,            0.009835,            0.009835,            0.009835
                  27,            0.019896,            0.021284,                   0,             0.15614,             0.47826,             0.12419,            0.085204,            0.020817,            0.021483,                   0,           0.0098284,           0.0098284,           0.0098284
                  28,             0.01796,            0.021869,                   0,             0.10835,             0.30435,              0.1171,            0.049015,            0.027525,            0.020427,                   0,           0.0098218,           0.0098218,           0.0098218
                  29,            0.019012,            0.019552,                   0,             0.32482,              0.6087,             0.32047,             0.23346,            0.020335,            0.018403,                   0,           0.0098152,           0.0098152,           0.0098152
